account_id,r,rd
324277900,2145.954155729964,105.26871038017751
355168766,2145.954155729964,105.26871038017751
100616105,1711.7164842721843,142.9128582153647
173378701,1710.815299298076,143.02890338257464
337575662,1710.815299298076,143.02890338257464
399862798,1711.7164842721843,142.9128582153647
389022189,1690.8981842093235,148.5534172137698
907097333,1552.9227274975267,183.6719247212416
320017600,1768.6922361238871,128.13275723266463
147408273,1580.3291218187503,171.29009070728446
72211296,1552.9227274975267,183.6719247212416
135942776,1467.7418129038113,126.07086218752252
904131336,1676.881072622718,158.30828952750915
402583877,1712.4323166706477,217.3741183335932
175311897,2143.008708161485,101.17058699423849
184620877,1770.5379180369375,142.51525327668023
123023873,2141.5810619242707,101.19511742384194
910028605,1517.0488600381339,97.19157779197188
114619230,1517.0488600381339,97.19157779197188
140835095,1701.8258814431317,162.1601330696385
276449590,1888.8918439633692,102.13414365317986
1048617659,1888.8918439633692,102.13414365317986
1613937051,1445.5373066199866,92.77553712991892
297111049,1430.2262544610091,85.42699023446258
1673853841,1519.0116671623937,120.5461302138081
134556694,1209.2856403304627,169.323765344923
87063175,1579.7139741022668,148.2806565032543
164962869,2044.3329876761532,125.94567086924786
374875067,1894.8403164913686,99.33116214173369
262476000,2254.341640957745,140.28638240932077
919735867,2221.0470259965755,108.4414198174047
230487729,1887.2330813487472,99.71050632338482
126212866,2046.1786196073474,104.15063917135166
155162307,1603.5363463588142,175.11002367251882
210053851,1968.0905929080654,110.23789770830422
285282252,1760.4692547396123,181.1757232091571
312542697,1624.0692701166527,122.85259538295749
1041811781,1014.1644554893358,338.9695208126638
1054936816,1209.4118318921587,190.0213969076898
838547248,1380.4529733453123,152.42847433266112
120840516,1349.1781108850482,236.7344088513872
1682179459,1598.8042178026274,127.47599264609562
389276156,1967.9034612787655,174.05412404419334
376571133,1280.7646500503229,164.85796866937778
1675898897,1703.538107841915,104.02385200486042
113923026,1390.0152453053747,90.83639205943109
314272971,1614.7762981217386,84.67276272317768
1251984026,1674.146077434711,88.20061611498069
399588134,1699.3136226366682,91.14962446510704
1634724608,1540.127515246979,80.33457676011024
1101342282,1399.2913048357836,160.33753372589342
156190292,1544.5021259913076,77.55037340859114
1337215347,1220.913661758476,148.78852928467845
165671428,1658.0417767232188,100.67559369293768
148180390,1476.0760917028522,105.13625853643077
191734430,1669.7534189362482,97.07758433900563
115296681,1669.2931489957964,99.60032233080732
106092529,1433.2560646968911,260.34428746694175
78387922,1433.2560646968911,260.34428746694175
93850611,1433.2560646968911,260.34428746694175
175463659,1455.3707211535793,126.79324776351108
91535476,1645.9419637567162,119.67103945689765
103812784,1861.5138058587595,243.21391973574924
190826739,1915.2253486596662,116.86488175130526
127617979,1838.9493371501042,112.42946646123296
9403474,1684.136298630566,137.86469882671545
116585378,1684.32378503442,137.97205927622764
1657135701,1849.857850314097,119.30975559490243
294135421,1826.9688937901622,112.88333619162569
206097366,1840.453985521871,102.44324965564323
363739653,1784.8561405251671,124.92919528536054
185059559,1820.9354027926436,142.39231833510777
111030315,1802.0105198465178,116.22272344179942
957204049,2214.8746039164603,105.91502060678947
835864135,2221.0518381818015,108.4446250067432
185590374,2221.0518381818015,108.4446250067432
130991304,2221.0518381818015,108.4446250067432
337792133,1656.883023801743,177.35347862767443
117421467,1586.8720513490273,128.25835456380784
72393079,1763.6749857335508,108.35032933540027
194979527,1735.5274781677933,203.28826991602233
115464954,1958.333023845159,114.18716913404339
168126336,1299.6224324867085,167.09880661159877
326153784,1433.2469205050072,260.3521900678874
348449095,1433.2469205050072,260.3521900678874
101578544,1433.2469205050072,260.3521900678874
162921123,1433.2469205050072,260.3521900678874
473522567,1433.2469205050072,260.3521900678874
190464115,1446.802867895149,235.00509981749298
422354558,1446.802867895149,235.00509981749298
308558213,1446.802867895149,235.00509981749298
1569049676,1446.802867895149,235.00509981749298
163218041,1446.802867895149,235.00509981749298
1131833218,1427.5561423406855,178.00460642775772
1153798101,1829.4811077776762,134.89340458479964
1675517497,1678.3303580781583,103.76340395561516
1092267175,1840.6688129571148,102.45708620320079
847851833,1724.6198449169847,115.4416626304946
340421206,1840.7434185974198,102.46733772622926
880397480,1134.3515675772999,164.5536761352239
872008996,1571.1096573850787,117.19141624682304
405351356,1571.1096573850787,117.19141624682304
337926153,1456.315158437081,283.17509138973764
147858311,1134.3515675772999,164.5536761352239
195415954,1222.921314982407,170.48542284456596
1057776020,1471.8538764078066,116.53611940909614
1253472325,1427.8078385438873,148.053750243456
154921394,1471.8538764078066,116.53611940909614
910596685,1464.275981130394,115.13829538947874
195997808,1213.3005219630381,241.37150761609047
221945821,1455.7675997755239,77.78788305175172
1030928034,1568.2863778513413,182.36288228754668
1674492970,1495.9621950379853,98.11935427482949
358507879,1308.4197927850703,185.7066565448414
143786911,1432.4602344377643,106.98839803975414
252520776,1452.9801904945923,169.45022355769171
324627809,1544.7742234843865,135.58567259407758
116080282,1252.0438231221137,288.73602695464393
1665119043,1476.6777169348481,153.1293005033642
1907973300,1285.3386111173113,290.8607430237842
1405735123,1902.0359574775525,186.34100666648487
151981696,1460.3741110281812,253.65702559681262
1585037597,1703.6335702761273,198.21413007118656
314533615,1814.7895468168213,297.1055807130469
